company_name,company_twitter,description
scotts miracle-gro,scotts_mgro,
choice hotels,choicehotels,
brightstar care,brightstarcare,
reuters,reuters,
bp,bp_plc,
edward jones investments,edwardjones,
transitions optical,transitions,
nike,nike,
amtrak,amtrak,
prudential financial,prudential,
sears,sears,
ibm,ibm,
hbo,hbo,"owned by @att"
amd,amd,
xerox,xerox,
pnc bank,pncbank,
eggland's best,egglandsbest,
amazon,amazon,
amway,amway,
johnson & johnson,jnjnews,
hertz,hertz,
sprint,sprint,
lendingtree,lendingtree,
united airlines,united,
honda,honda,
general electric,generalelectric,
crest,crest,"actually owned by Proctor & Gamble, but distinct enough. @proctorgamble"
lg corporation,lgus,
univision communications,univision,
mitsubishi,mitsucars,
delta,delta,
custom ink,customink,
intel,intel,
avanir pharmaceuticals,avanirpharma,
amplifon,amplifon,
conagra brands,conagrabrands,
sealy,sealy,
tommie copper,tommiecopper,
matrixx initiatives,zicam,"Only @zicam has a twitter account, not matrix"
wells fargo,wellsfargo,
the home depot,homedepot,
beautyrest,beautyrest,
blackberry,blackberry,
nestle,nestle,
massachusetts mutual,massmutual,
leesa mattress,leesasleep,
general mills,generalmills,
avon products,avoninsider,
csx,csx,
midas,midas,
aviva,avivaplc,
applebee's,applebees,
helzberg diamonds,helzberg,
office depot,officedepot,
ortho,ortho,
truecar,truecar,
pacific life,pacificlife,
chick-fil-a,chickfila,
pepsico,pepsico,
kraft heinz company,kraftheinzco,
bny mellon,bnymellon,
tyco international,tyco_is,
costco,costco,
la quinta by wyndham,lq,
nationwide insurance,nationwide,
yum! brands,yumbrands,
moody's corporation,moodyscorp,
tesla,tesla,
bain & company,bainandcompany,
devry university,devryuniv,
walmart,walmart,
nordstrom,nordstrom,
airbus,airbus,
dexcom,dexcom,
fiat chrysler automobiles,fcagroup,
the coca-cola company,cocacolaco,
mcdonald's,mcdonaldscorp,
netflix,netflix,
reckitt benckiser,discoverrb,
etrade,etrade,
kohler,kohler,
td ameritrade,tdameritrade,
devon energy,devonenergy,
aetna,aetna,
fico,fico,
tripadvisor,tripadvisor,
husqvarna,husqvarnausa,
gnc,gnclivewell,
healthmarkets,healthmarkets,
cisco,cisco,
ikea,ikea,
chevron,chevron,
huidarts,huidartscom,
fidelity investments,fidelity,
trugreen,trugreen,
general electric,generalelectric,
aig,aiginsurance,
asiana airlines,flyasiana,
htc,htc,
procter & gamble,proctergamble,
nokia,nokia,
hearusa,hearusa,
carvana,carvana,
aspen dental,aspendental,
american express,americanexpress,
janssen pharmaceuticals,janssenglobal,
darden restaurants,dardengroup,
caterpillar,caterpillarinc,
hoveround,hoveround,
the rockport group,rockport_group,
masco corporation,mascocorp,
blackrock,blackrock,
sirius xm holdings,siriusxm,
transunion,transunion,
hilton,hiltonhotels,
sonova,sonovagroup,
staples,staples,
lupin,lupinglobal,
chico's,chicos,
ubs,ubs,
kmart,kmart,
optum,optum,
merrill lynch,merrilllynch,
hyundai,hyundai,
oracle,oracle,
grant thornton,grantthornton,
lockheed martin,lockheedmartin,
napa,napaknowhow,
kia,kia,
baesystems,baesystemsinc,
mozilla,mozilla,
sunsweet growers,sunsweetgrowers,
zynga,zynga,
norfolk southern,nscorp,
zelle,zelle,
bass pro shops,bassproshops,
ebates,ebates,
farmers insurance group,wearefarmers,
equifax,equifax,
alamo,alamo,
sargento,sargento,
adp,adp,
lufthansa,lufthansa,
simmons bedding company,sertasimmonsbed,
atkins,atkinsinsider,
jackson hewitt,jacksonhewitt,
exact sciences corporation,exactsciences,
northrop grumman,northropgrumman,
navy federal credit union,navyfederal,
dunkin brands,dunkinbrands,
hotwire,hotwire,
coleman,colemanusa,
bissell,bissellclean,
royal dutch shell,shell,
berkshire hathaway,berkshire,
mastercard,mastercard,
halliburton,halliburton,
metlife,metlife,
splenda,splenda,
match,match,
walgreens,walgreens,
ally financial,ally,
j.c. penney,jcpenny,
mazda,mazdausa,
nintendo,nintendoamerica,
tracfone,tracfonecalls,
panera bread,panerabread,
dhl,dhlus,
amc,amc_tv,
hsbc,hsbc,
ziprecruiter,ziprecruiter,
priceline,priceline,
cars.com,carsdotcom,
mattel,mattel,
sap,sap,
bentley,bentleymotors,
carrabba's,carrabbas,
oxiclean,toughstains,
old navy,oldnavy,
jpmorgan chase,jpmorgan,
alcoa,alcoa,
monsanto,,"No twitter available."
airasia,airasia,
yahoo,yahoo,
